"UID","PID","LEGTYPE","CHAMBER","CHAMBERANK","STATECODE","STATE","DISTRICT","DISTRAIL","DISTYPE","PARTYRANK","PERCENTVOT","ELECTDATE","REELECTYR","ELECTCODE","FECLINK","PYRACUSC","CYRACUSC","PYRADASC","CYRADASC","PYRAFLSC","CYRAFLSC","PYRUSCOSC","CYRUSCOSC","SEATSTCODE","SEATSTAT","DISTRICTID","SEATID","PARTYCODE","FIRSTNAME","LASTNAME","MIDNAME","NICKNAME","PREFIX","GENSUFFIX","TITLE","PROFSUFFIX","GENDER","LEGALNAME","PRONUNCTON","BIRTHPLACE","BIRTHYEAR","BIRTHMONTH","BIRTHDATE","MARITAL","SPOUSE","RESIDENCE","FAMILY","RELIGCODE","RELIGION","ETHCODE","ETHNICS","REOFC1","REOFC1DATE","REOFC2","REOFC2DATE","RECOCCODE1","RECENTOCC1","RECOCCODE2","RECENTOCC2","SCHOOL1","DEGREE1","EDUDATE1","SCHOOL2","DEGREE2","EDUDATE2","SCHOOL3","DEGREE3","EDUDATE3","MILBRANCH1","MILRANK1","MILDATES1","MILBRANCH2","MILRANK2","MILDATES2","MAILNAME","MAILTITLE","MAILADDR1","MAILADDR2","MAILADDR3","MAILADDR4","MAILADDR5","EMAIL","WEBFORM","WEBSITE","WEBLOG","FACEBOOK","TWITTER","YOUTUBE","PHOTOPATH","PHOTOFILE"
21768,158718,"FL","H",156,"CA","California","01","","",18,62.799999999999997,"1998","2012","G","H8CA01109",0,0,90,0,96,0,55,0,"AOK","Normal",416,850,"D","Mike","Thompson","C.","Mike","Rep.","","US Representative","","M","C. Michael Thompson","TOMP-suhn","St. Helena, CA","1951","01","24","Married","Janet Thompson","St. Helena, CA","2 children ;  3 grandchildren ","ROC","Roman Catholic",5,"White/Caucasian","Member, CA State Senate","1991-1998","","","BUS","Owner and Maintenance Supervisor","EDU","College Instructor","California State University - Chico","M.A.","1996","California State University - Chico","B.A.","1982","St. Helena High School (CA)","","1982","U.S. Army","SSG","1967-1973","","","","Rep. Mike Thompson","US Representative","Room 231","CHOB- Cannon House Office Building","Independence Avenue and 1st Street, SE","","Washington, DC 20515-0501","","http://mikethompson.house.gov/Contact/","http://mikethompson.house.gov","","http://www.facebook.com/RepMikeThompson","","http://www.youtube.com/CongressmanMThompson","Images\Photos\FL\H","Thompson_Mike_158718.jpg"
21797,158747,"FL","H",67,"CA","California","31","","",7,83.900000000000006,"1992","2012","G","H2CA30143",0,0,95,0,96,0,50,0,"AOK","Normal",446,880,"D","Xavier","Becerra","","Xavier","Rep.","","US Representative","","M","Xavier Becerra","beh-SEH-rah","Sacramento, CA","1958","01","26","Married","Dr. Carolina Reyes","Los Angeles, CA","3 children","ROC","Roman Catholic",2,"Hispanic/Latino","Member, CA State Assembly","1990-1993","Deputy Attorney General, Office of CA Attorney General","1987-1990","LAW","Staff Attorney","PUB","Administrative Assistant","Universidad de Salamanca (Spain)","","1979","Stanford University Law School (CA)","J.D.","1984","Stanford University (CA)","B.A.","1980","","","","","","","Rep. Xavier Becerra","US Representative","Room 1226","LHOB- Longworth House Office Building","Independence and New Jersey Avenues, SE","","Washington, DC 20515-0531","","http://forms.house.gov/becerra/webforms/issue_subscribe.html","http://becerra.house.gov","http://www.house.gov/apps/blog/ca31_becerra/index.shtml","http://www.facebook.com/XavierBecerra","http://twitter.com/repbecerra","http://www.youtube.com/user/XavierBecerra","Images\Photos\FL\H","Becerra_Xavier_158747.jpg"
21833,209633,"FL","H",345,"DE","Delaware","01","","",1,56.799999999999997,"2010","2012","G","H0DE01017",0,0,50,0,58,0,75,0,"AOK","Normal",888,1328,"D","John","Carney","C.","John","Rep.","Jr.","US Representative","","M","John C. Carney Jr.","KAR-nee","Wilmington, DE","1956","05","20","Married","Tracey Quillen","Wilmington, DE","2 children","ROC","Roman Catholic",5,"White/Caucasian","Chair, DE Center for Education Technology","1960","Candidate, Nomination for DE Governor","2008","BUS","President and Chief Operating Officer","PUB","Deputy Chief of Staff","University of Delaware","M.P.A.","1987","Dartmouth College (NH)","B.A.","1978","St. Mark's High School (DE)","","1978","","","","","","","Rep. John Carney Jr.","US Representative","Room 1406","LHOB- Longworth House Office Building","Independence and New Jersey Avenues, SE","","Washington, DC 20515-0801","","http://forms.house.gov/carney/webforms/email-me.shtml","http://johncarney.house.gov/","","http://www.facebook.com/JohnCarneyDE","http://twitter.com/johncarneyde","http://www.youtube.com/user/RepJohnCarney","Images\Photos\FL\H","Carney_John_209633.jpg"
21872,248295,"FL","H",258,"IA","Iowa","01","","",2,49.5,"2006","2012","G","H6IA01098",0,0,90,0,96,0,63,0,"AOK","Normal",1874,2398,"D","Bruce","Braley","L.","Bruce","Rep.","","US Representative","","M","Bruce L. Braley","BRAY-lee","Grinnell, IA","1957","10","30","Married","Carolyn Kalb","Waterloo, IA","3 children","PRE","Presbyterian",5,"White/Caucasian","Vice Chairman Candidate Services, Democratic Congressional Campaign Committee","2009-2010","Precinct Coordinator, John Edwards for President Campaign","2004","LAW","Associate","","","University of Iowa","J.D.","1983","Iowa State University","B.A.","1980","BGM High School (IA)","","1980","","","","","","","Rep. Bruce Braley","US Representative","Room 2263","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-1501","","http://braley.house.gov/contact","http://braley.house.gov","","http://www.facebook.com/brucebraley","http://twitter.com/BruceBraley","http://www.youtube.com/RepBruceBraley","Images\Photos\FL\H","Braley_Bruce_248295.jpg"
21908,194590,"FL","H",376,"KS","Kansas","01","","",2,73.700000000000003,"2010","2012","G","H6KS01146",0,0,30,0,21,0,80,0,"AOK","Normal",2029,2555,"R","Tim","Huelskamp","","Tim","Rep.","","US Representative","Dr.","M","Timothy A. Huelskamp","HYOOLZ-kamp","Fowler, KS","1968","11","11","Married","Angela","Fowler, KS","4 adopted children","ROC","Roman Catholic",5,"White/Caucasian","Vice Chair, KS State Joint Committee on Information Technology","2010","Member, KS State Senate","1996-2010","BUS","Internet Entrepreneur","AGR","Farmer and Rancher","American University (DC)","Ph.D.","1995","College of Santa Fe (NM)","B.A.","1991","Fowler High School (KS)","","1991","","","","","","","Rep. Tim Huelskamp","US Representative","Room 126","CHOB- Cannon House Office Building","Independence Avenue and 1st Street, SE","","Washington, DC 20515-1601","","http://forms.house.gov/huelskamp/webforms/zipauthen_contact.shtml","http://huelskamp.house.gov/","","http://www.facebook.com/congressmanhuelskamp","http://twitter.com/conghuelskamp","http://www.youtube.com/user/congressmanhuelskamp","Images\Photos\FL\H","Huelskamp_Tim_194590.jpg"
21938,265644,"FL","H",291,"MD","Maryland","04","","",6,83.400000000000006,"2008","2012","G","H6MD04183",0,0,0,0,0,0,0,0,"AOK","Normal",2684,3218,"D","Donna","Edwards","F.","Donna","Rep.","","US Representative","","F","Donna F. Edwards","EHD-wurds","Yanceyville, NC","1958","06","28","Separated","Derek Coleman","Fort Washington, MD","1 child","BAP","Baptist",1,"Black/African American","Candidate, Nomination to U.S. House of Representatives","2006","","","BUS","Executive Director","VOL","Executive Director","Franklin Pierce College Law Center (NH)","J.D.","1989","Wake Forest University (NC)","B.A.","1980","","","","","","","","","","Rep. Donna Edwards","US Representative","Room 318","CHOB- Cannon House Office Building","Independence Avenue and 1st Street, SE","","Washington, DC 20515-2004","4mddistrict@mail.house.gov","http://www.donnaedwards.house.gov/contact-rep-edwards1/","http://www.donnaedwards.house.gov","","http://www.facebook.com/pages/Congresswoman-Donna-F-Edwards/107297211756","http://twitter.com/repdonnaedwards","http://www.youtube.com/user/RepDonnaFEdwards","Images\Photos\FL\H","Edwards_Donna_265644.jpg"
21975,284784,"FL","H",387,"MO","Missouri","07","","",6,63.399999999999999,"2010","2012","G","H0MO07113",0,0,10,0,13,0,79,0,"AOK","Normal",3567,4187,"R","Billy","Long","","Billy","Rep.","","US Representative","","M","Billy Long","long","Springfield, MO","1955","08","11","Married","Barbara","Springfield, MO","2 children","PRE","Presbyterian",5,"White/Caucasian","","","","","REL","Realtor","ENT","Radio Talk Show Host","Indiana University - Bloomington","Att.","1964","University of Missouri - Columbia","Att.","1974","Missouri Auction School","","1974","","","","","","","Rep. Billy Long","US Representative","Room 1541","LHOB- Longworth House Office Building","Independence and New Jersey Avenues, SE","","Washington, DC 20515-2507","","http://long.house.gov/index.cfm?sectionid=58&sectiontree=3,58","http://long.house.gov/","","","","","Images\Photos\FL\H","Long_Billy_284784.jpg"
22009,158959,"FL","H",126,"NJ","New Jersey","08","","",3,62.700000000000003,"1996","2012","G","H6NJ08118",0,0,95,0,100,0,55,0,"AOK","Normal",4204,4983,"D","Bill","Pascrell","","Bill","Rep.","Jr.","US Representative","","M","William J. Pascrell Jr.","PASS-krell","Paterson, NJ","1937","01","25","Married","Elsie Marie Botto","Paterson, NJ","3 children ;  3 grandchildren ","ROC","Roman Catholic",5,"White/Caucasian","Mayor, Paterson, NJ","1990-1996","Member, NJ General Assembly","1987-1990","PUB","Director of Policy, Planning and Development","PUB","Director","Fordham University (NY)","M.A.","1961","Fordham University (NY)","B.S.","1959","St. John the Baptist High School","","1955","U.S. Army Reserve","SGT","1961-1967","U.S. Army","","1961","Rep. Bill Pascrell Jr.","US Representative","Room 2370","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-3008","bill.pascrell@mail.house.gov","http://pascrell.house.gov/contact","http://pascrell.house.gov/","","http://www.facebook.com/pascrell","http://twitter.com/BillPascrell","http://www.youtube.com/user/RepPascrell","Images\Photos\FL\H","Pascrell_Bill_158959.jpg"
22025,158975,"FL","H",136,"NY","New York","06","","",13,87.799999999999997,"1998","2012","G","H8NY06048",0,0,95,0,96,0,58,0,"AOK","Normal",4410,5233,"D","Gregory","Meeks","W.","Gregory","Rep.","","US Representative","","M","Gregory Weldon Meeks","meeks","Harlem, NY","1953","09","25","Married","Simone-Marie","St. Albans, NY","3 children ","BAP","Baptist",1,"Black/African American","Member, NY State Assembly","1992-1998","","","LAW","Judge","LAW","Hearing Officer","Howard University Law School (DC)","J.D.","1978","Adelphi University (NY)","B.A.","1975","Julia Richman High School (NY)","","1975","","","","","","","Rep. Gregory Meeks","US Representative","Room 2234","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-3206","","https://meeks.house.gov/contact-me/email-me","http://meeks.house.gov/","","http://www.facebook.com/gregory.meeks","http://twitter.com/GregoryMeeks","http://www.youtube.com/user/gwmeeks","Images\Photos\FL\H","Meeks_Gregory_158975.jpg"
22054,197920,"FL","H",268,"OH","Ohio","04","","",7,71.5,"2006","2012","G","H6OH04082",0,0,0,0,4,0,70,0,"AOK","Normal",4927,5756,"R","Jim","Jordan","","Jim","Rep.","","US Representative","","M","James D. Jordan","JOR-duhn","Troy, OH","1964","02","17","Married","Polly","Urbana, OH","4 children","USP","Protestant - Unspecified Christian",5,"White/Caucasian","Member, Champaign County (OH) Republican Executive Committee","1974","Member, OH State Senate","2001-2006","BUS","Director","BUS","Director","Capital University (OH)","J.D.","2001","Ohio State University","M.A.","1991","University of Wisconsin","B.S.","1986","","","","","","","Rep. Jim Jordan","US Representative","Room 1524","LHOB- Longworth House Office Building","Independence and New Jersey Avenues, SE","","Washington, DC 20515-3504","","http://jordan.house.gov/Contact/","http://jordan.house.gov","","http://www.facebook.com/repjimjordan","http://twitter.com/Jim_Jordan","http://www.youtube.com/user/RepJimJordan","Images\Photos\FL\H","Jordan_Jim_197920.jpg"
